광물,가격,단위,등락률,상태,수집일시
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:06
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:06
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:06
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:06
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:07
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:07
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:07
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:07
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:07
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:08
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:08
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:08
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:08
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:08
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:09
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:09
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:09
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:09
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:09
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 20:35:56
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 20:35:56
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 20:35:56
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 20:35:56
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 20:35:56
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 20:56:59
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 20:56:59
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 20:56:59
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 20:56:59
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 20:56:59
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:35
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:35
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:35
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:35
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:35
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:37
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:37
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:37
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:37
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:37
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:38
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:38
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:38
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:38
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:38
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:39
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:39
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:39
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:39
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:39
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:43
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:43
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:43
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:43
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:43
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:44
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:44
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:44
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:44
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:44
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:45
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:45
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:45
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:45
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:45
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:45
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:45
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:45
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:45
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:45
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:47
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:47
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:47
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:47
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:47
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:48
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:48
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:48
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:48
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:48
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:48
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:48
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:48
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:48
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:48
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:50
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:50
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:50
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:50
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:50
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:51
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:51
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:51
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:51
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:51
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:53
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:53
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:53
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:53
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:53
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:53
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:53
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:53
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:53
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:53
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 21:54:58
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 21:54:58
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 21:54:58
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 21:54:58
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 21:54:58
